,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,SS-ARFre,OALE,CALMID
0,0.641532894,0.65360394,0.66109469,0.684683554,0.550785612,0.638750326,0.65742881,0.557887714,0.665363696,0.63735788
1,0.680471337,0.67266994,0.691582872,0.744430402,0.679236169,0.669007197,0.687795498,0.569712203,0.69026057,0.659613397
2,0.661730667,0.62885915,0.663264274,0.808212026,0.748660152,0.660600653,0.691876803,0.591717852,0.699509757,0.660291601
3,0.787399435,0.643825052,0.694264465,0.870365565,0.816851352,0.678878688,0.730073135,0.571659243,0.710853956,0.661692447
4,0.801354225,0.645137231,0.689573114,0.888176907,0.8309728,0.67475986,0.73832073,0.660404141,0.69995009,0.672785454
5,0.854361997,0.649655178,0.699851173,0.910406798,0.896580632,0.687709498,0.739658603,0.727440985,0.702851495,0.697332147
6,0.878010755,0.66752688,0.716533464,0.930439855,0.914058277,0.710283116,0.761494841,0.761448128,0.711157168,0.715426718
7,0.873573766,0.654010045,0.69662794,0.933295025,0.914490249,0.689392355,0.768317709,0.76366829,0.704241491,0.636265399
8,0.861256632,0.649919846,0.689971784,0.920439692,0.907624909,0.683716953,0.776194345,0.75759751,0.695874262,0.722994445
9,0.877500604,0.643374531,0.688068805,0.938953128,0.928659789,0.688721952,0.805103326,0.768697332,0.699755076,0.788239308
10,0.893891176,0.667555831,0.71435756,0.952713291,0.946474721,0.706206064,0.831065811,0.790792885,0.707931385,0.828892874
11,0.910713893,0.652326038,0.696198547,0.957401297,0.947564037,0.695515543,0.837427487,0.786242546,0.722816278,0.829276829
12,0.89633117,0.660135521,0.704624646,0.942644086,0.935307112,0.670381625,0.830468437,0.783972121,0.714873893,0.825407122
13,0.906231749,0.623477519,0.741875614,0.95697263,0.941209168,0.687012322,0.833738978,0.783831593,0.705419412,0.822628351
14,0.935974384,0.685308559,0.786973198,0.959693416,0.953078028,0.768517454,0.865569342,0.824755434,0.751726293,0.846166763
15,0.935152708,0.674346209,0.79980285,0.957339664,0.956495035,0.793020233,0.862172303,0.821783648,0.735223028,0.845037259
16,0.939994161,0.671330309,0.80759099,0.956344563,0.960087688,0.801769753,0.877002695,0.837751754,0.756412413,0.846681064
17,0.94166471,0.685276869,0.802770753,0.969824802,0.962398123,0.825186391,0.889149398,0.854327279,0.747031428,0.854292508
18,0.940228762,0.755877767,0.7968956,0.968313749,0.967201806,0.825421205,0.883567564,0.851854417,0.743694394,0.858185594
19,0.933376516,0.80014894,0.787287008,0.959693195,0.954803396,0.821363836,0.872544054,0.853555643,0.738452389,0.850668638
20,0.951640287,0.823299668,0.815822583,0.968065358,0.966857648,0.840618823,0.891273091,0.869196988,0.760253787,0.8753879
21,0.956040314,0.828786183,0.816588604,0.970080817,0.975614328,0.84965229,0.90425262,0.877758241,0.760220487,0.884910496
22,0.945928343,0.830671909,0.80956159,0.970116948,0.964652963,0.835380861,0.903847812,0.873776798,0.750645885,0.888092837
23,0.956155812,0.829612794,0.821709683,0.977788168,0.972780363,0.852779714,0.915051712,0.88904608,0.776528615,0.905909691
24,0.951810194,0.822700805,0.83481304,0.969076045,0.971604049,0.853009581,0.907149891,0.883503645,0.781967183,0.900058909
25,0.957165674,0.81937044,0.835123187,0.971467015,0.965949149,0.829174041,0.903014238,0.876462233,0.759968895,0.896494274
26,0.957958064,0.808735822,0.834138424,0.975722588,0.970560722,0.827589267,0.899843788,0.878802313,0.750086554,0.899502218
27,0.965409655,0.845526725,0.876677019,0.984931675,0.981193788,0.853744532,0.921700005,0.895179879,0.767401543,0.919103142
28,0.961818838,0.856475399,0.883662827,0.978333709,0.971326994,0.851082775,0.916585993,0.893883075,0.755126729,0.918481008
29,0.966970271,0.856448646,0.871880422,0.978891269,0.974984318,0.853203467,0.92039989,0.902962168,0.768724728,0.927164736
30,0.961686188,0.838221786,0.864206408,0.976117366,0.974187845,0.834797584,0.910867539,0.890295812,0.764808094,0.918068693
31,0.977689825,0.86503652,0.891631694,0.982203309,0.981667629,0.85476863,0.929382774,0.912654809,0.779502745,0.933586543
32,0.96779435,0.852839885,0.879713838,0.977900753,0.978015693,0.850836727,0.915944577,0.901650229,0.769249069,0.919826076
33,0.972407479,0.857083086,0.878671492,0.980849078,0.977839904,0.856044978,0.925429453,0.91134995,0.779436007,0.930719945
34,0.974318918,0.848356963,0.871731154,0.976834991,0.975848937,0.855937428,0.912398117,0.905172947,0.787392972,0.925247567
35,0.972401965,0.857599856,0.881281463,0.974616985,0.96868768,0.85851898,0.918934478,0.907652875,0.775559009,0.932649631
36,0.977895448,0.859482775,0.887153901,0.985586868,0.980063995,0.871138615,0.944375053,0.927803184,0.780211412,0.945713425
37,0.971636849,0.85847867,0.881267176,0.980844201,0.979083808,0.870859474,0.934525174,0.920809662,0.79067239,0.942475419
38,0.976018698,0.86750927,0.895325746,0.983466168,0.982627549,0.870552872,0.938705936,0.924836649,0.784795062,0.946054434
39,0.978564728,0.868344539,0.897063047,0.987042358,0.978933766,0.876096482,0.942801448,0.928561811,0.793882512,0.950806728
40,0.97984062,0.86604999,0.894688308,0.981207366,0.981789198,0.876766571,0.938497845,0.930040229,0.805727,0.946948018
41,0.973029553,0.863682577,0.892957187,0.983185571,0.977880529,0.876989248,0.944019322,0.930708813,0.804917805,0.948390122
42,0.979916286,0.872301274,0.892011881,0.983825172,0.977797189,0.887729406,0.944137931,0.935058543,0.813050283,0.953490096
43,0.971799347,0.86378116,0.872677422,0.981034176,0.977478317,0.878543801,0.931570337,0.923334019,0.81298153,0.94381637
44,0.975774073,0.860479467,0.876374536,0.984471168,0.980092065,0.880729631,0.942025091,0.935070862,0.799059284,0.950158378
45,0.984293526,0.864887027,0.886067442,0.988819014,0.985851649,0.891907468,0.950230281,0.941190345,0.812461894,0.956609842
46,0.977087434,0.874415876,0.878464933,0.981200964,0.977044694,0.88664294,0.93712465,0.930407888,0.817513243,0.952570724
47,0.976909591,0.86065388,0.883854733,0.985676117,0.981910213,0.883708208,0.942402956,0.928883433,0.812611453,0.950741861
48,0.976820221,0.860548619,0.889324673,0.983629207,0.984288991,0.891417725,0.945262889,0.93825914,0.818159344,0.956488021
49,0.977735778,0.867112127,0.893360093,0.985828224,0.982707536,0.890041502,0.946304639,0.936612867,0.81604536,0.957135261
50,0.981172281,0.86443634,0.907639545,0.98555095,0.981553611,0.895830134,0.947328651,0.939099049,0.810919579,0.959105073
51,0.976188277,0.856903271,0.90736982,0.981657341,0.980392035,0.901737981,0.951104538,0.938881333,0.816549138,0.963043354
52,0.973120991,0.858338257,0.896965781,0.98103658,0.980193588,0.898045792,0.947043644,0.938842925,0.818731281,0.957485114
53,0.985570224,0.871573395,0.909421622,0.988094512,0.986957741,0.908565815,0.956831993,0.947826675,0.81989122,0.967084772
54,0.980422486,0.882889845,0.901487369,0.984080566,0.982822114,0.906572645,0.953786619,0.944998898,0.820177862,0.964402794
55,0.98056957,0.871252105,0.914855167,0.985595464,0.982885294,0.90871131,0.956915951,0.944987782,0.833791472,0.964220384
56,0.982056209,0.863290321,0.89695837,0.981778083,0.979876387,0.900078436,0.945282031,0.936344746,0.812202703,0.958288923
57,0.985138466,0.887168415,0.920580642,0.988008962,0.99080094,0.917135096,0.964022908,0.953034011,0.841009674,0.97101142
58,0.981104866,0.881606989,0.911820317,0.986179382,0.986700762,0.911466562,0.956534849,0.949742972,0.836753312,0.964908913
59,0.985536684,0.881496653,0.917762652,0.986257606,0.9860762,0.919064208,0.960585756,0.952621323,0.842557792,0.970364535
60,0.985025082,0.885661452,0.917181845,0.984400844,0.982381038,0.913646509,0.958089793,0.951119891,0.829827189,0.96881913
61,0.979398482,0.873490585,0.915132433,0.982270392,0.984099224,0.907833645,0.954089326,0.943843072,0.837619051,0.964440981
62,0.984469329,0.892570636,0.916369949,0.989235725,0.987039138,0.920178107,0.96161429,0.951882123,0.842591995,0.971047754
63,0.989407043,0.895748861,0.932471962,0.990329203,0.990588034,0.92596746,0.970887906,0.962341258,0.849087381,0.974850105
64,0.982952992,0.884526518,0.929448353,0.990483548,0.98619071,0.924299404,0.959652475,0.954812345,0.850779603,0.969449706
65,0.984938582,0.894009072,0.929101154,0.98552334,0.985871897,0.924144735,0.959487224,0.951406047,0.844110885,0.96780309
66,0.981213155,0.881683938,0.928202349,0.981877445,0.983887475,0.92160561,0.955188407,0.946786093,0.834823673,0.968041467
67,0.983056425,0.890017042,0.92530717,0.990609781,0.986364974,0.923937685,0.961652425,0.955768169,0.84211805,0.972985529
68,0.986079346,0.900770258,0.92754506,0.99081482,0.990500758,0.930590628,0.967938538,0.960019992,0.844953679,0.975245272
69,0.982432986,0.882306244,0.922387566,0.989773408,0.989603731,0.924525408,0.964352633,0.954269172,0.836764715,0.973358483
70,0.985014942,0.895508258,0.931112667,0.990143433,0.983912382,0.930008399,0.963791609,0.959086891,0.837163456,0.97541021
71,0.984938952,0.904463596,0.940240691,0.99090008,0.988959385,0.937035736,0.967834022,0.958096407,0.858012885,0.976836092
72,0.984014038,0.898127404,0.93563656,0.989209353,0.986772321,0.93769675,0.967113576,0.959174202,0.856379396,0.975688074
73,0.986479252,0.89256696,0.927184876,0.988217423,0.986922697,0.929659853,0.969003089,0.958838551,0.848898923,0.975001182
74,0.987006053,0.903185904,0.935601168,0.990348736,0.991014409,0.936326238,0.971415546,0.962513737,0.851482326,0.980201935
75,0.986167515,0.896638175,0.942202265,0.991170733,0.989779497,0.94159565,0.972956957,0.965418455,0.857180989,0.980295977
76,0.985872308,0.895118591,0.93148016,0.988877543,0.98576042,0.93656392,0.968622219,0.960932329,0.852820534,0.977607654
77,0.983093629,0.895450777,0.936710038,0.990814079,0.989500813,0.934690312,0.963147009,0.957937616,0.839080588,0.976561709
78,0.983839428,0.884948183,0.924584808,0.983091091,0.98374599,0.9290953,0.956551472,0.95179288,0.83379529,0.971708052
79,0.985036277,0.896010205,0.936496856,0.987699537,0.984352366,0.936937791,0.968977632,0.959980475,0.843285751,0.977885331
80,0.984510551,0.898710005,0.931990463,0.991717713,0.986913214,0.934538048,0.965590625,0.960613265,0.84883434,0.976120218
81,0.984375838,0.903194979,0.938920804,0.986619893,0.988563199,0.93328546,0.965915434,0.957636881,0.844843872,0.975800645
82,0.983880148,0.90487052,0.939278724,0.988183562,0.986159477,0.939008728,0.965606188,0.957659871,0.846395229,0.978430561
83,0.98808757,0.909150952,0.946184412,0.988228409,0.987333689,0.945474298,0.966552492,0.964876157,0.845732134,0.978819178
84,0.985709993,0.920389592,0.94018229,0.989842237,0.991966248,0.946426628,0.973006202,0.967084992,0.858797807,0.982100444
85,0.983814215,0.909422726,0.942315589,0.99069365,0.992509515,0.940970982,0.970537427,0.963917114,0.858726243,0.977476068
86,0.989769859,0.925401305,0.947318731,0.988910504,0.988914,0.950000237,0.972220581,0.964662409,0.865371929,0.981863238
87,0.983049826,0.912098105,0.937069569,0.987780894,0.986595069,0.942421144,0.964521726,0.962300263,0.851290286,0.979724703
88,0.990332891,0.917572494,0.946674651,0.99125443,0.991631294,0.944575128,0.971945418,0.966760405,0.862598925,0.981089736
89,0.985933579,0.928765767,0.948150123,0.991619826,0.990184704,0.950182218,0.969782241,0.965818413,0.860386164,0.979322764
90,0.988676885,0.925154252,0.944817308,0.98706192,0.987218085,0.945400037,0.96689576,0.96523639,0.859575243,0.979155645
91,0.988917005,0.922678875,0.948417567,0.991891787,0.990610332,0.947392984,0.970966055,0.967779423,0.877414102,0.978815501
92,0.986072372,0.908991752,0.943351851,0.988047684,0.989575862,0.944881488,0.96839416,0.96438882,0.863026776,0.97912752
93,0.99049867,0.924510351,0.951713921,0.992571714,0.990226643,0.946710562,0.972822676,0.967958116,0.867782229,0.981361656
94,0.987276232,0.914605717,0.947179161,0.987807615,0.984578387,0.945702445,0.968814996,0.963494509,0.864816612,0.978753757
95,0.986901257,0.915084966,0.941618113,0.987409893,0.991730882,0.943314947,0.968763742,0.963216114,0.865447114,0.980347193
96,0.98808897,0.924784144,0.948608791,0.992460245,0.99117667,0.95190655,0.971266397,0.968025014,0.870413679,0.982125085
97,0.988848441,0.919240166,0.937169173,0.988798103,0.986538271,0.944459404,0.968584609,0.962844228,0.847456748,0.980410842
98,0.993642901,0.920421811,0.954933116,0.994688987,0.992137673,0.956323173,0.979230774,0.972670922,0.863825021,0.986842618
99,0.991191318,0.934088084,0.948894426,0.992650228,0.992492365,0.952140396,0.974877565,0.967740641,0.859767283,0.984321541
100,0.804672727,0.71794129,0.544930996,0.724161197,0.673967499,0.57917263,0.540389001,0.560301085,0.702863335,0.612716514
101,0.874870408,0.904443961,0.595816003,0.836443914,0.826821724,0.795817821,0.752285339,0.771543736,0.812765711,0.837715829
102,0.928803103,0.895960973,0.618362071,0.900310769,0.889258523,0.843678393,0.801188752,0.801281776,0.835045326,0.884349662
103,0.931602832,0.907477951,0.637124053,0.897956741,0.887973066,0.874360573,0.834466955,0.827693686,0.863945797,0.915506158
104,0.94734779,0.912600865,0.652109293,0.909178807,0.882592724,0.880788931,0.847424677,0.825479522,0.872932751,0.939269909
105,0.958731918,0.932752703,0.691110181,0.92984282,0.913944195,0.899360474,0.88283381,0.853295018,0.895340619,0.954046723
106,0.969509042,0.949824685,0.695257374,0.944744872,0.931628509,0.921201251,0.883230733,0.856253815,0.894728417,0.969576423
107,0.97304944,0.953890035,0.716863202,0.952352457,0.941680142,0.937984515,0.907071397,0.866581389,0.892263032,0.972371811
108,0.976277531,0.957854069,0.739041691,0.952451276,0.934308558,0.95043364,0.912448137,0.878347389,0.888265911,0.974671437
109,0.972194132,0.956316247,0.737610086,0.956312469,0.94720488,0.947197474,0.923704167,0.900368653,0.891329626,0.977689681
110,0.976508414,0.957090721,0.745869239,0.956741018,0.946342141,0.952094377,0.931463207,0.918351139,0.898783796,0.98085428
111,0.976318264,0.956661954,0.769502147,0.954625264,0.945742881,0.959986054,0.926760068,0.917135756,0.882132402,0.98325582
112,0.978178432,0.962029045,0.795243416,0.965155555,0.951615659,0.960055056,0.937295531,0.93155746,0.896348947,0.982738773
113,0.976979168,0.966274756,0.794538807,0.964731967,0.949776073,0.965734411,0.929177779,0.925608852,0.883442829,0.986481457
114,0.978682071,0.964362742,0.825804322,0.961527169,0.957940622,0.964691359,0.935814146,0.928722971,0.892277317,0.984458107
115,0.974658822,0.95738488,0.827669367,0.957433359,0.948611815,0.959508961,0.927268102,0.919473678,0.87956652,0.981224509
116,0.977912718,0.965902655,0.838175283,0.966006762,0.958040651,0.964501683,0.944825734,0.934350438,0.898473912,0.984658572
117,0.986962722,0.971947415,0.882165738,0.972891014,0.968883941,0.97256973,0.951703582,0.945170195,0.902837675,0.990675941
118,0.983006698,0.969652877,0.872564715,0.963174373,0.957617716,0.970970346,0.945830859,0.938379716,0.895674438,0.987949882
119,0.977058587,0.966589589,0.862841687,0.965617009,0.961069226,0.967384094,0.94203698,0.937288932,0.89586646,0.986050567
120,0.985984439,0.978181832,0.885710529,0.972000636,0.967417924,0.977951901,0.949063075,0.940771049,0.899574377,0.992756857
121,0.988130304,0.975154914,0.88971515,0.971937633,0.96892006,0.972628945,0.954107648,0.944857498,0.90733085,0.989140357
122,0.98798577,0.976831746,0.891616609,0.971606952,0.969911094,0.975375478,0.952277911,0.941473944,0.905007931,0.992528461
123,0.989723833,0.973198165,0.900905612,0.974730177,0.969112122,0.971358016,0.95284635,0.94781299,0.912229009,0.989376995
124,0.989724429,0.972185665,0.892826133,0.962912719,0.963385503,0.969022404,0.950254381,0.940849343,0.894703807,0.990337862
125,0.99063633,0.977856753,0.912460597,0.971730526,0.970259678,0.97487834,0.95789973,0.947542313,0.909895963,0.992454214
126,0.987039918,0.978901139,0.912682048,0.975464369,0.971611412,0.977325793,0.956508904,0.949469905,0.901293615,0.990751394
127,0.992489644,0.980259792,0.919354666,0.974390407,0.974735526,0.9749692,0.960421375,0.949441239,0.907279244,0.991733065
128,0.991779302,0.980123925,0.917971672,0.975828389,0.977346462,0.978279988,0.960953521,0.951459214,0.911073758,0.993180909
129,0.988301819,0.973032177,0.914083141,0.970696197,0.964558613,0.972841775,0.95540449,0.946602561,0.89672049,0.990494297
130,0.993029421,0.982532329,0.925599623,0.98062352,0.978449157,0.981741117,0.965596478,0.957521756,0.90859195,0.996222086
131,0.991336182,0.973574494,0.93522873,0.971647147,0.973735283,0.975090727,0.959386158,0.951613462,0.914445961,0.991059634
132,0.993013345,0.974977628,0.934225479,0.975264691,0.976933919,0.976623943,0.965220371,0.956284646,0.916700491,0.992205442
133,0.991301227,0.979451349,0.934469879,0.972437624,0.975118344,0.977861077,0.964559095,0.955142273,0.91694793,0.993492506
134,0.993135356,0.980255373,0.935431838,0.982061643,0.981625583,0.981132011,0.969612695,0.964196748,0.911374962,0.995953944
135,0.993330807,0.976052362,0.938984804,0.980766502,0.979815988,0.976504769,0.968781752,0.963470232,0.910975775,0.994630703
136,0.992407594,0.978138275,0.9339393,0.976834286,0.978899349,0.976620593,0.966531873,0.964077341,0.915051519,0.994429549
137,0.992625241,0.980392285,0.941908942,0.978107559,0.982198157,0.981432541,0.968180997,0.963622076,0.91366977,0.995444958
138,0.992723621,0.980145993,0.942486933,0.984252026,0.978513153,0.982324544,0.972992427,0.969096808,0.915989642,0.996211075
139,0.995604764,0.981588854,0.949526343,0.979983017,0.979939132,0.982907167,0.96824609,0.965988079,0.924304413,0.994967289
140,0.992734057,0.979007032,0.945826482,0.98117963,0.976206155,0.978958349,0.966782423,0.963481594,0.919853184,0.994539812
141,0.991624813,0.978225829,0.934849104,0.976353394,0.977493672,0.979390254,0.96755904,0.962737203,0.913277812,0.99403837
142,0.991306983,0.975172625,0.945574153,0.978444573,0.975859643,0.978094734,0.966851743,0.964875891,0.919286626,0.996981189
143,0.989074785,0.980192576,0.938122848,0.978637057,0.974790573,0.9789952,0.966862825,0.963383055,0.920385898,0.994290636
144,0.991357276,0.976066239,0.954094417,0.980279716,0.977816042,0.978398919,0.969300489,0.965679319,0.919172148,0.994714418
145,0.993779708,0.978007955,0.946969417,0.986141918,0.978612343,0.981225188,0.970221449,0.96830517,0.916629829,0.996300817
146,0.991304309,0.972964763,0.945893411,0.977092178,0.975573393,0.975180351,0.964923468,0.960575764,0.910388427,0.993317903
147,0.988346301,0.973920845,0.938047438,0.974910872,0.976456166,0.97608836,0.966538139,0.963501805,0.908914352,0.996491274
148,0.993597565,0.984025511,0.959596496,0.983664844,0.981281583,0.985148288,0.971893223,0.969799901,0.918967391,0.997243335
149,0.993972731,0.977770289,0.957324074,0.982828908,0.980099384,0.981824507,0.972695263,0.9713175,0.927127869,0.995188809
