,LB,BOLE,MOOB,ARF,ARFre,VU-LB,VU-ARF,SS-ARFre,OALE,CALMID
150,0.968302121,0.961912436,0.938525731,0.908125182,0.918318197,0.95141099,0.896441058,0.914505296,0.925086055,0.97430586
151,0.967180203,0.951510637,0.920747877,0.906597245,0.927874689,0.952068354,0.895131233,0.905159405,0.917950005,0.972670234
152,0.975070368,0.953347074,0.929820407,0.921450709,0.922742765,0.959492882,0.898240529,0.908423361,0.925574206,0.977575942
153,0.973497265,0.95043647,0.917469365,0.896748419,0.919821623,0.956555847,0.893989563,0.907831407,0.915783494,0.97567113
154,0.978262337,0.960181627,0.918555607,0.928677603,0.938071079,0.965275412,0.915600685,0.925224555,0.928333558,0.981076603
155,0.983176011,0.970696336,0.92932397,0.944543318,0.948617096,0.972614384,0.925123005,0.924595922,0.935903323,0.986801958
156,0.977983832,0.963750878,0.930755367,0.934918352,0.933186655,0.967741043,0.921063534,0.923089882,0.937945251,0.9814101
157,0.982112541,0.960233659,0.921384607,0.931557901,0.937001134,0.966271356,0.922135594,0.923975726,0.924844381,0.983959832
158,0.975421169,0.954561112,0.92518767,0.937631176,0.928021002,0.955162491,0.91955444,0.917859393,0.925234596,0.975217069
159,0.978738603,0.962767486,0.92451248,0.929148327,0.937563548,0.961368292,0.925813364,0.927084484,0.9280008,0.980274475
160,0.974389694,0.960323806,0.931816003,0.928420783,0.949359036,0.959199467,0.934327264,0.931716898,0.935795819,0.977899679
161,0.982556852,0.96312063,0.927020797,0.940020694,0.949497754,0.964011414,0.933321388,0.932309643,0.934869256,0.983441089
162,0.98055643,0.961877997,0.923225559,0.939012574,0.944531168,0.959715757,0.924145186,0.916969164,0.924756731,0.98126982
163,0.981727049,0.960817805,0.924083278,0.945675481,0.95516892,0.961555365,0.936202811,0.929840392,0.929989975,0.977038805
164,0.983340621,0.969861816,0.927856025,0.951315208,0.954992575,0.970374921,0.943659575,0.938856098,0.94284782,0.98448967
165,0.987072103,0.977408399,0.932880067,0.955474206,0.954695529,0.977220847,0.942358603,0.939154635,0.940766735,0.992251229
166,0.989492844,0.980298282,0.933994106,0.947661268,0.962320433,0.977558755,0.941938096,0.939144309,0.932136156,0.988334688
167,0.987257764,0.975773551,0.93542798,0.955576683,0.959401471,0.973210142,0.943268374,0.937586481,0.936013321,0.985274547
168,0.983180513,0.963894785,0.931461071,0.945922093,0.9506743,0.967818747,0.933822933,0.93282226,0.928941053,0.979941299
169,0.984478868,0.9642649,0.93817283,0.952250892,0.960997021,0.960129761,0.938513307,0.939855134,0.92949485,0.972604041
170,0.98662674,0.97754491,0.941324509,0.951816555,0.960137491,0.968518942,0.940947116,0.941083011,0.936912161,0.979672298
171,0.979067331,0.960690636,0.920785342,0.956417974,0.95380624,0.961144531,0.931368255,0.933170989,0.927393908,0.976018537
172,0.987312783,0.974992972,0.946770195,0.960080746,0.970341022,0.964091851,0.948862647,0.946545789,0.935099356,0.978137572
173,0.989862168,0.974982132,0.940588364,0.970275597,0.968318394,0.963493806,0.942355886,0.937605732,0.940314582,0.98244196
174,0.982397617,0.97220647,0.951835729,0.970233615,0.973686654,0.9697288,0.949891751,0.949984377,0.952235617,0.982112641
175,0.983179094,0.980034288,0.958589396,0.969806715,0.978501795,0.96737934,0.948885043,0.9510095,0.953765683,0.981096008
176,0.979091666,0.970389648,0.952755688,0.96913038,0.968384607,0.965192906,0.948006513,0.94836989,0.937827966,0.979072377
177,0.987514573,0.977728879,0.97055313,0.971307438,0.967122219,0.969067958,0.948754613,0.952016855,0.951141972,0.978493742
178,0.981932162,0.96924235,0.964239106,0.963206732,0.95719287,0.966594711,0.945047684,0.94850305,0.943192052,0.979314709
179,0.987450339,0.975995337,0.957082562,0.970451249,0.971257406,0.962136983,0.954238189,0.952137288,0.943371925,0.982070428
180,0.982559707,0.981248407,0.965303161,0.968049314,0.970001298,0.973904166,0.957500315,0.952084122,0.956425928,0.984608283
181,0.97884081,0.977975661,0.958778257,0.964189163,0.969574085,0.960733824,0.94823422,0.948435346,0.947208618,0.97633053
182,0.988430916,0.987676503,0.966667491,0.974469227,0.973998498,0.980544122,0.963867038,0.961791536,0.956949947,0.987734689
183,0.985830265,0.984964902,0.967784464,0.980018153,0.97841554,0.976860419,0.966636829,0.963059955,0.957210552,0.985278586
184,0.98475443,0.985863626,0.961674377,0.97830388,0.979243632,0.981787265,0.970558352,0.965610985,0.962370329,0.987454587
185,0.989104983,0.989466126,0.970602789,0.977859346,0.979436574,0.983464312,0.968625157,0.96830377,0.965406955,0.987440645
186,0.988102745,0.988025301,0.965642287,0.975821853,0.977505181,0.983290491,0.971958751,0.970712607,0.964117762,0.987053648
187,0.969648122,0.968867168,0.936693764,0.960015179,0.95918741,0.962547403,0.949068457,0.94467897,0.94126767,0.973251992
188,0.954625988,0.954810723,0.93727627,0.958174949,0.960580407,0.941101127,0.942263598,0.945845007,0.941741399,0.95916487
189,0.982811402,0.980340999,0.970141335,0.980451033,0.981294276,0.973047359,0.968915093,0.969648246,0.964945409,0.979889815
190,0.990016494,0.991777977,0.982109404,0.99231378,0.992024716,0.987631266,0.984844036,0.985825193,0.980788624,0.991474908
191,0.994763987,0.997059051,0.991525649,0.99743876,0.995903627,0.993923894,0.993073755,0.992243421,0.987371413,0.996190894
192,0.995840342,0.994963584,0.994459522,0.99784873,0.996971316,0.993055597,0.994825131,0.995588715,0.992213528,0.995807385
193,0.988738804,0.994545362,0.987954352,0.994997627,0.99537317,0.984740666,0.990446875,0.990014877,0.980538772,0.990248572
194,0.997800827,0.995842581,0.990078253,0.997682404,0.997382751,0.99109265,0.994878431,0.993712196,0.986831725,0.995919886
195,0.996495327,0.996633401,0.993942282,0.998276731,0.998192686,0.992843383,0.996098028,0.995200828,0.989777848,0.996225969
196,0.995870147,0.995689759,0.992240734,0.997682991,0.997505149,0.990648786,0.99366896,0.993060585,0.984468351,0.992927786
197,0.995907158,0.997253028,0.99283646,0.997440321,0.996231104,0.99394096,0.994593126,0.994981198,0.989413228,0.996332627
198,0.994949941,0.992830515,0.988154884,0.996753143,0.996069129,0.989640263,0.992253459,0.992220139,0.981712766,0.995226459
199,0.994349124,0.991946737,0.991250071,0.994365754,0.995264693,0.98653715,0.989989185,0.989839221,0.982395739,0.993705128
200,0.99055744,0.987959936,0.987580571,0.993196605,0.993272825,0.982588175,0.984506886,0.985391333,0.978138374,0.992888625
201,0.989281138,0.986231773,0.977766957,0.987137303,0.974811881,0.979008829,0.978823193,0.978876466,0.968495717,0.989622346
202,0.986663088,0.983718961,0.976835747,0.923837283,0.875355675,0.981047834,0.970017565,0.973980919,0.970690293,0.990260626
203,0.982204648,0.982435849,0.970559037,0.920988215,0.93006307,0.969268938,0.956710448,0.967367866,0.963938654,0.985220159
204,0.990120448,0.987718079,0.972445989,0.950337947,0.9487579,0.978105867,0.939390122,0.959770636,0.964810774,0.990312514
205,0.988555394,0.986008157,0.968666529,0.958637678,0.966494508,0.977692106,0.933437154,0.949561282,0.97131977,0.988831485
206,0.991287416,0.989163481,0.978541895,0.971507764,0.968265134,0.98406455,0.933548495,0.954879151,0.975454009,0.991071502
207,0.988611557,0.987557239,0.973435812,0.969361862,0.966073197,0.981810521,0.933777211,0.940339132,0.969414307,0.991657571
208,0.986009657,0.986186137,0.969204198,0.965200766,0.960662407,0.972603557,0.930282979,0.932727989,0.964678713,0.986963481
209,0.989831343,0.989447744,0.973014409,0.976606977,0.970526,0.979003738,0.947624108,0.947408958,0.967982348,0.9891438
210,0.993877813,0.992737611,0.975781533,0.976752522,0.984195585,0.986760012,0.963953335,0.960803534,0.980064148,0.995310688
211,0.989613108,0.986043621,0.972169295,0.972796444,0.978219802,0.977046357,0.953403915,0.954407474,0.97100906,0.988348868
212,0.993321514,0.989881742,0.973204642,0.974573314,0.974182844,0.983176782,0.956656774,0.959004217,0.970609261,0.992842513
213,0.991261349,0.984837116,0.968754836,0.968870267,0.962707394,0.978986289,0.957464035,0.957789045,0.967410595,0.990935772
214,0.992038133,0.991472908,0.972914924,0.97013414,0.970841724,0.978406922,0.954879518,0.955893622,0.964926515,0.991191585
215,0.989574954,0.981728702,0.969238895,0.966602455,0.971389351,0.976793851,0.952932004,0.956825821,0.956149972,0.989779748
216,0.988251961,0.981397927,0.953137744,0.938614999,0.940885412,0.96969541,0.923797799,0.940144435,0.942590121,0.987177196
217,0.985677174,0.974976599,0.944436639,0.930093646,0.938571361,0.957985532,0.921164314,0.929227224,0.933717369,0.98140752
218,0.970538189,0.963391035,0.931237648,0.896687555,0.907066557,0.944968692,0.882463352,0.89809835,0.913914327,0.975702376
219,0.960640036,0.961197774,0.918183083,0.873364936,0.804536157,0.944545315,0.889023471,0.907278761,0.912727029,0.974348978
220,0.964067371,0.95035564,0.907396978,0.882694566,0.74925336,0.940094359,0.879143716,0.89122424,0.905720512,0.971876574
221,0.968326438,0.95723785,0.900406247,0.880104698,0.858638556,0.931242476,0.856353331,0.866716481,0.890177483,0.973239543
222,0.959405916,0.945028603,0.885877905,0.869832388,0.880793044,0.922604551,0.855983945,0.863192484,0.888847895,0.969786354
223,0.965303118,0.955691271,0.901245196,0.868675468,0.871261275,0.9260357,0.853535823,0.84938492,0.899030577,0.973574421
224,0.959328007,0.934113442,0.88832526,0.869623751,0.891207097,0.926319013,0.839714419,0.837463949,0.889176226,0.968935851
225,0.966328414,0.939240839,0.903262533,0.89056095,0.906967469,0.937035812,0.846436798,0.848174628,0.882798421,0.980109703
226,0.9708074,0.944328901,0.933517075,0.913393969,0.913531111,0.937882557,0.853063339,0.860278098,0.90613623,0.974058868
227,0.975234412,0.955271759,0.941689635,0.944781518,0.937323652,0.949741041,0.881114003,0.88467799,0.916013039,0.977898164
228,0.974903171,0.954318801,0.943058903,0.948124186,0.939825071,0.948579294,0.881944867,0.882297917,0.919342095,0.975233838
229,0.949025021,0.938462288,0.919015614,0.93863624,0.937621584,0.920736703,0.87380954,0.874180888,0.905456803,0.952549255
230,0.92459373,0.928701192,0.907171976,0.92738713,0.937924259,0.909825812,0.868976635,0.86915953,0.895526646,0.943280932
231,0.955819148,0.963138319,0.942232014,0.961104256,0.95617214,0.953743022,0.914458504,0.915157995,0.929650841,0.97424459
232,0.966084482,0.959667572,0.964660463,0.965068198,0.963566483,0.96442103,0.934918941,0.926630313,0.929214405,0.976387391
233,0.978965017,0.972878597,0.979151526,0.975869188,0.969752528,0.975775215,0.9511358,0.950645119,0.956719078,0.988842935
234,0.984002922,0.971350712,0.979611592,0.981842472,0.980065714,0.9751129,0.95870016,0.951070385,0.957360777,0.989452202
235,0.981890245,0.977201061,0.980581424,0.986423054,0.985011311,0.980498373,0.967570862,0.962048937,0.963623886,0.991654502
236,0.992508218,0.986672334,0.980782157,0.987553981,0.983327042,0.987068443,0.971821709,0.96622581,0.962752626,0.995459915
237,0.988615279,0.98259535,0.983065875,0.988287006,0.990395038,0.982515312,0.976518837,0.970445746,0.964668435,0.993717612
238,0.984983951,0.980557638,0.977015648,0.986909448,0.989913508,0.984272633,0.9760941,0.970648311,0.960091279,0.99326952
239,0.988381412,0.979620974,0.980761841,0.985312295,0.989377294,0.981155597,0.977983176,0.971617547,0.962882538,0.993575961
240,0.990443675,0.985285404,0.982128167,0.987328609,0.990827417,0.986170329,0.980920724,0.973373297,0.966508161,0.994294699
241,0.992300765,0.985107283,0.978819729,0.989794445,0.992467291,0.984352418,0.976754253,0.973285268,0.961595631,0.996259035
242,0.989203844,0.981750913,0.978408613,0.986054488,0.98805903,0.983827536,0.97501198,0.973039032,0.959341311,0.99457046
243,0.991745736,0.983681121,0.982075335,0.989382878,0.990802763,0.985989384,0.978279091,0.977491262,0.960422878,0.993501848
244,0.993846506,0.989514119,0.981571707,0.990647344,0.992762694,0.989933002,0.982000342,0.980130364,0.965841139,0.99597048
245,0.992199029,0.989546789,0.981521525,0.988726963,0.990894191,0.988722776,0.980724756,0.980778358,0.970279463,0.996646699
246,0.993417697,0.991403861,0.987866053,0.993665628,0.994539537,0.990487446,0.986645617,0.985529875,0.979891897,0.997587282
247,0.994818379,0.988715379,0.986349387,0.988516297,0.991746288,0.988486087,0.980879077,0.977024702,0.971759069,0.994916337
248,0.993742214,0.9894839,0.983242222,0.989324854,0.992422177,0.98923397,0.981319651,0.979755901,0.967480885,0.996232907
249,0.989257693,0.986644493,0.96624138,0.98482201,0.985650564,0.983789439,0.969887013,0.970403774,0.952338908,0.993280127
250,0.984918054,0.983119259,0.969142893,0.980386539,0.981275279,0.980868407,0.971606196,0.969474162,0.956559464,0.99113606
251,0.980952203,0.977542836,0.960374047,0.959649533,0.970960225,0.977294831,0.961257998,0.960623778,0.944935177,0.986199611
252,0.984850163,0.977086134,0.966646052,0.91574168,0.900690158,0.978295587,0.956997778,0.953230859,0.959030458,0.987904476
253,0.979792801,0.975813354,0.954908764,0.881453352,0.893796142,0.97599178,0.945591956,0.948805377,0.946828859,0.989413496
254,0.982803439,0.972697333,0.957428667,0.9068073,0.90281157,0.968210936,0.935992249,0.94132698,0.939353594,0.987601801
255,0.981282346,0.97010831,0.94848052,0.903513973,0.902375008,0.966982848,0.923746887,0.929902827,0.934727326,0.983243867
256,0.986584249,0.97754895,0.947226881,0.914096341,0.904545584,0.97661993,0.917134484,0.924110057,0.94051829,0.989917851
257,0.980618449,0.976125953,0.945798716,0.922717667,0.927756525,0.969312931,0.912123049,0.921371607,0.943714394,0.984088156
258,0.986695801,0.977615579,0.945105341,0.944100795,0.920624972,0.978212766,0.915678939,0.928745468,0.948042961,0.991498436
259,0.981943264,0.97618284,0.947593663,0.929915868,0.921737219,0.973290734,0.909606255,0.912299122,0.941683556,0.987834892
260,0.988259792,0.984129446,0.95373611,0.935551999,0.938822583,0.980842195,0.925451155,0.921314368,0.953301655,0.991350884
261,0.987618758,0.97975432,0.945222286,0.938385889,0.931870918,0.975134052,0.917472716,0.917215922,0.942545509,0.989301753
262,0.982921014,0.981510644,0.950388286,0.939574794,0.942788934,0.978633446,0.920003714,0.924866974,0.953575026,0.988416064
263,0.985926849,0.979414847,0.949200179,0.956150213,0.937876533,0.977456363,0.93466612,0.930024123,0.950721823,0.989428839
264,0.98614475,0.981229798,0.952060176,0.952539501,0.941556021,0.978307066,0.929518218,0.930665694,0.947508382,0.990575699
265,0.983335512,0.978055613,0.947892287,0.95071099,0.93638157,0.978149042,0.930817502,0.936466545,0.949030559,0.991402422
266,0.987513747,0.984072868,0.949080122,0.95773009,0.950535876,0.982586145,0.946832891,0.9449033,0.952854867,0.992362086
267,0.983341422,0.979549674,0.95080635,0.955615955,0.959672162,0.977959065,0.937865199,0.933015461,0.954399896,0.986288402
268,0.987401916,0.982133592,0.943289384,0.961035745,0.955523358,0.980123915,0.933644257,0.939419456,0.943454278,0.992197902
269,0.989423537,0.986857162,0.959694144,0.966266655,0.967766614,0.985799231,0.95184447,0.953782237,0.964075249,0.993987161
270,0.985695515,0.983166122,0.946668189,0.944239879,0.952452868,0.978312911,0.933124144,0.936030738,0.94923344,0.991317994
271,0.990179436,0.985753538,0.945667821,0.96043379,0.964076158,0.981516192,0.94516924,0.949343771,0.943990942,0.993899712
272,0.986039332,0.986695073,0.950897967,0.954461001,0.945683824,0.97807807,0.937523133,0.93545239,0.938350872,0.990830044
273,0.992598668,0.986025926,0.950572087,0.970006169,0.968140578,0.985615833,0.952674985,0.956043211,0.95790718,0.993007726
274,0.982914729,0.983388795,0.943769863,0.956444113,0.955695618,0.97472886,0.940468068,0.945101262,0.938919805,0.988829776
275,0.991202791,0.986311438,0.960077047,0.968924,0.962296275,0.985627153,0.954246914,0.957212354,0.956563195,0.993367712
276,0.976503231,0.971973175,0.96304299,0.946594406,0.946725605,0.97066998,0.934149507,0.938199835,0.941317167,0.985634117
277,0.987515868,0.980520285,0.962650223,0.954360518,0.952324895,0.979261985,0.940297846,0.943211783,0.938810972,0.991403669
278,0.990126143,0.983759958,0.975438954,0.97066002,0.971415717,0.98338175,0.951484764,0.95279808,0.952933557,0.992330417
279,0.989610969,0.986077678,0.969471632,0.967205886,0.972462816,0.981706302,0.9490973,0.951046207,0.941782854,0.993824222
280,0.992484378,0.988371533,0.978415535,0.970616204,0.970546871,0.985134454,0.953863429,0.958816686,0.958826947,0.995172123
281,0.98881349,0.986152378,0.978610394,0.968927147,0.971817714,0.984723216,0.957933045,0.961075,0.959809907,0.992381489
282,0.9915344,0.990461494,0.979723219,0.983322331,0.978062019,0.988196422,0.966570028,0.96697815,0.960788664,0.9942307
283,0.995181246,0.994008315,0.977658976,0.985543519,0.986611033,0.991888965,0.977232202,0.978191424,0.971235744,0.996775656
284,0.993711974,0.989749382,0.980323795,0.986543364,0.978248618,0.98926893,0.97229406,0.97191234,0.968619968,0.995767902
285,0.993424835,0.982396895,0.978911901,0.974790672,0.981084419,0.984327808,0.965935973,0.963463428,0.954171488,0.991265987
286,0.992529805,0.991177311,0.977763021,0.985010279,0.984478772,0.988369447,0.975925992,0.972967069,0.965559849,0.994633046
287,0.995820813,0.992951139,0.978831907,0.98780614,0.987082767,0.99155093,0.978132714,0.974568928,0.971578413,0.997112708
288,0.994469494,0.989947673,0.982037574,0.987665049,0.985302741,0.989752406,0.978429829,0.976855126,0.967238121,0.993232131
289,0.993735261,0.993190346,0.986173455,0.987298654,0.988943531,0.989599959,0.98138943,0.977770868,0.971303971,0.996225512
290,0.994124795,0.992775147,0.986515819,0.988869296,0.986471959,0.991534344,0.981933249,0.980360982,0.968666568,0.996470846
291,0.995997459,0.993258306,0.985614626,0.991742541,0.990560127,0.99184597,0.982918552,0.982097448,0.97172099,0.997001962
292,0.992852131,0.994122722,0.989325369,0.987672179,0.988419395,0.991809426,0.980516431,0.981937072,0.961991672,0.997180642
293,0.996242733,0.992993767,0.986069367,0.989223182,0.987837705,0.992600872,0.979295145,0.979394846,0.970103919,0.996712735
294,0.995555534,0.993508131,0.98271007,0.990309449,0.989392674,0.992237916,0.980311334,0.981259702,0.962138573,0.995668644
295,0.99651647,0.988565375,0.983479544,0.988904983,0.989137751,0.991021016,0.983226271,0.980670831,0.962918348,0.994927403
296,0.997505511,0.994933488,0.98969355,0.993427306,0.992694304,0.994807171,0.98888674,0.987446945,0.969543187,0.997787239
297,0.994908986,0.994294974,0.98435736,0.982484299,0.984807964,0.99221065,0.980193119,0.979483331,0.96277766,0.996311528
298,0.998597173,0.997556316,0.993006469,0.995876258,0.995999606,0.996214223,0.992002898,0.991327237,0.979693679,0.998950223
299,0.996312274,0.993592869,0.987844397,0.99318647,0.99344211,0.994742694,0.988172186,0.986440825,0.972641389,0.996424735
